ISIN,Name,Value,Swiss Original,Currency,Price,Percentage,Date,Rating,Maturity,Confidence,Confidence Level,Method,Pass,AI Enhanced
ADDITIONAL_8,"Security with value 2'995'285",2995285,2'995'285,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_9,"Security with value 2'995'285",2995285,2'995'285,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_10,"Security with value 002'570'405",2570405,002'570'405,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_11,"Security with value 2'450'000",2450000,2'450'000,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_12,"Security with value 2'135'285",2135285,2'135'285,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_13,"Security with value 2'135'285",2135285,2'135'285,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_14,"Security with value 001'623'960",1623960,001'623'960,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_15,"Security with value 1'600'000",1600000,1'600'000,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_16,"Security with value 001'507'550",1507550,001'507'550,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_17,"Security with value 1'500'000",1500000,1'500'000,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_18,"Security with value 001'480'584",1480584,001'480'584,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_19,"Security with value 1'470'000",1470000,1'470'000,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_20,"Security with value 1'361'466",1361466,1'361'466,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_21,"Security with value 1'200'000",1200000,1'200'000,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_22,"Security with value 001'101'100",1101100,001'101'100,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_23,"Security with value 1'100'000",1100000,1'100'000,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_24,"Security with value 1'000'000",1000000,1'000'000,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_25,"Security with value 998'672",998672,998'672,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_26,"Security with value 996'057",996057,996'057,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_27,"Security with value 989'800",989800,989'800,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_28,"Security with value 989'800",989800,989'800,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_29,"Security with value 989'800",989800,989'800,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_30,"Security with value 989'800",989800,989'800,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_31,"Security with value 924'319",924319,924'319,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_32,"Security with value 800'000",800000,800'000,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_33,"Security with value 800'000",800000,800'000,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_34,"Security with value 737'748",737748,737'748,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_35,"Security with value 711'110",711110,711'110,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_36,"Security with value 704'064",704064,704'064,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_37,"Security with value 690'000",690000,690'000,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_38,"Security with value 690'000",690000,690'000,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_39,"Security with value 690'000",690000,690'000,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_40,"Security with value 526'129",526129,526'129,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_41,"Security with value 524'319",524319,524'319,USD,,,,,,0.5,low,fill_remaining,4,false
ADDITIONAL_1,"Security with value 6'946'239",6946239,6'946'239,USD,,,,,,0.4,low,fill_remaining,4,false
ADDITIONAL_2,"Security with value 6'946'239",6946239,6'946'239,USD,,,,,,0.4,low,fill_remaining,4,false
ADDITIONAL_3,"Security with value 6'946'239",6946239,6'946'239,USD,,,,,,0.4,low,fill_remaining,4,false
ADDITIONAL_4,"Security with value 6'946'239",6946239,6'946'239,USD,,,,,,0.4,low,fill_remaining,4,false
ADDITIONAL_5,"Security with value 5'956'439",5956439,5'956'439,USD,,,,,,0.4,low,fill_remaining,4,false
ADDITIONAL_6,"Security with value 5'956'439",5956439,5'956'439,USD,,,,,,0.4,low,fill_remaining,4,false
ADDITIONAL_7,"Security with value 5'956'439",5956439,5'956'439,USD,,,,,,0.4,low,fill_remaining,4,false
